,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,top51,top52,top53,top54,top55,top56,top57,top58,top59,top60,top61,top62,top63,top64,top65,top66,top67,top68,top69,top70,top71,top72,top73,top74,top75,top76,top77,top78,top79,top80,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-06-03,SH688126,SH601916,SZ301269,SH601818,SH688008,SZ300274,SH601988,SH688256,SH600584,SH688041,SZ000333,SZ300251,SZ300782,SH601618,SH601012,SH601398,SH600018,SZ002459,SH601995,SH601169,SZ000617,SH600547,SH601390,SZ300661,SH600346,SH600803,SZ002709,SZ300498,SZ002252,SH601186,SH600016,SH601238,SH600919,SH600905,SH601939,SH601838,SZ002736,SZ002466,SH688506,SZ300316,SZ000651,SH600176,SZ000938,SH601059,SH601881,SZ002601,SH600900,SH600426,SH601877,SH600887,SH601018,SH601298,SH601788,SH600061,SZ300347,SZ000975,SZ002027,SH600460,SH688012,SZ000338,SZ000100,SH688981,SZ000963,SH603259,SZ000166,SH601377,SH601328,SH601658,SH601607,SZ002142,SH601318,SZ000858,SH600377,SZ000001,SH600039,SZ002384,SH600085,SH600795,SH600036,SZ002001,-0.008238056674599648,-0.017907083,0.3375,-0.008913056674599648,0.9910869433254004,0.9820929,0.9910869433254004,0.0
1,2026-06-04,SH688303,SH688256,SH601916,SZ301269,SH688126,SZ300274,SZ002459,SH601012,SZ000333,SH600919,SH601988,SH601398,SH600905,SH600900,SH601818,SH600018,SH600346,SZ000977,SH600426,SZ000938,SH601985,SZ300347,SZ000975,SZ300661,SH600674,SH600803,SH601169,SH601857,SH601689,SH603260,SH600989,SZ002601,SH688223,SH600887,SZ300782,SZ300251,SH600176,SZ000617,SH601939,SZ000999,SZ000651,SZ002027,SZ000776,SH601328,SZ000100,SH600016,SH601238,SH600584,SZ300418,SZ000001,SH601390,SH601186,SH688472,SH601995,SH600547,SH601318,SH600941,SH600377,SZ300979,SZ002466,SH600015,SH601229,SZ000538,SH600000,SH688981,SH601919,SH601377,SH601668,SZ000063,SH600036,SZ000963,SH601100,SZ002709,SZ300866,SH600795,SH600938,SH601166,SZ000858,SH601607,SZ300015,-0.019696112722158432,-0.021441102,0.375,-0.020446112722158433,0.9708230679647097,0.9610358,0.9910869433254004,-0.02044611272215848
2,2026-06-05,SH600426,SZ300274,SH601916,SZ301269,SH688223,SH601988,SH601818,SZ002938,SH600919,SH601398,SH600346,SH600018,SH600011,SH600900,SH688506,SZ000333,SH601012,SZ000938,SH600989,SZ000977,SZ000617,SZ300347,SZ300316,SH600584,SZ002475,SH601939,SZ002601,SZ002459,SH601236,SH601328,SZ000625,SH600377,SZ000651,SH600887,SH601377,SH600176,SH600660,SZ002241,SH600183,SH600015,SH688008,SH601857,SZ000001,SH600803,SH600016,SZ002466,SH601166,SZ000338,SZ000063,SH601169,SZ002916,SH601088,SH601668,SZ300476,SH601658,SH601838,SH601298,SZ002142,SH600036,SZ002460,SZ300782,SZ000792,SH601390,SH600066,SH601186,SZ000776,SH688981,SZ002709,SH600026,SH600000,SH601225,SH600941,SH600999,SZ300498,SZ300628,SH688187,SH601825,SH688256,SZ000858,SH601006,0.018297787755727768,0.018705249,0.3,0.017697787755727768,0.9880044885699137,0.9790122,0.9910869433254004,-0.003110175929817065
3,2026-06-08,SZ002466,SZ300347,SH600183,SZ300394,SZ002460,SZ300408,SZ000975,SH600011,SZ300782,SH688008,SH601916,SH688041,SZ300274,SZ000792,SH601012,SH600426,SH688223,SH600919,SH601818,SH600346,SZ301269,SH601939,SH601988,SZ000617,SH603392,SZ300418,SH600584,SZ002459,SH603986,SH688012,SH601166,SH601169,SH600900,SH688981,SZ002709,SH688506,SZ000333,SH601398,SH601088,SH600000,SH601138,SH688396,SH601328,SH600377,SZ300413,SZ300498,SZ300661,SZ300308,SH600015,SZ002916,SH600018,SZ300502,SH600036,SH600233,SZ000001,SH600176,SH600989,SH600016,SH600547,SH601658,SH600026,SH600887,SZ000651,SH600438,SZ002142,SH601838,SZ000895,SZ000977,SH600803,SH688126,SH603799,SH601390,SH600875,SH688256,SH600941,SH601808,SZ300628,SH601238,SH600104,SH601186,-0.0021419457625597715,-0.011083305,0.3,-0.0027419457625597714,0.9852954338490894,0.9681615,0.9910869433254004,-0.005843593758665339
4,2026-06-09,SZ002466,SZ300782,SH600346,SH600989,SH600426,SZ300347,SZ002460,SZ301269,SH688041,SH600919,SZ000617,SH601818,SZ002601,SH601939,SH600900,SZ300308,SZ000333,SH600000,SH601166,SH601988,SZ000975,SH688008,SH601328,SH603392,SH600377,SZ000661,SH600026,SH600372,SZ300413,SH601916,SH600036,SZ000001,SZ300274,SH601658,SZ000002,SH600016,SH600547,SH601225,SZ300476,SH601012,SZ300015,SH601816,SH601169,SZ000938,SH600018,SZ300498,SH688223,SZ002415,SZ300628,SH688256,SH600887,SH601668,SZ300502,SZ002459,SZ300394,SH601377,SZ000625,SH600015,SH600584,SH603260,SH600219,SZ000538,SH601398,SH600489,SZ000963,SH600941,SZ300251,SH603296,SZ002714,SH601238,SH601456,SH600030,SH600104,SH601808,SH603799,SH688126,SH688981,SH688506,SZ000786,SZ002142,-0.003477909369394183,-0.005513251,0.3125,-0.004102909369394183,0.9812528559819287,0.9628238,0.9910869433254004,-0.009922527392476094
5,2026-06-10,SZ300347,SH601012,SZ300394,SZ002459,SH688506,SH688223,SZ300308,SZ300433,SZ000338,SZ300782,SH600919,SH601916,SH601818,SH600989,SH600426,SH688047,SZ000975,SH600584,SH600346,SZ301269,SH600438,SH603392,SZ000617,SH688256,SZ300274,SH601328,SH600188,SH600036,SZ000333,SZ300408,SH601166,SZ000001,SH600900,SH601838,SH601398,SZ002463,SH600026,SH601816,SZ300418,SZ002709,SH688008,SH601939,SH688396,SH600015,SH600377,SZ000792,SH601169,SH601988,SH600000,SH600016,SZ002648,SH601658,SH600941,SH600018,SH600547,SH600104,SH688041,SZ300476,SZ300502,SH600875,SZ300628,SZ002384,SH600482,SH600489,SZ002601,SH600066,SH600039,SH600010,SZ000999,SZ300122,SH601229,SZ000538,SH600011,SH601225,SH600372,SZ000651,SH600887,SZ300413,SH600999,SZ300015,0.00896541029214859,0.011627674,0.3,0.00836541029214859,0.9894614387225602,0.9740192,0.9910869433254004,-0.0016401231131005524
6,2026-06-11,SZ300347,SZ300394,SZ300308,SH600919,SZ000725,SZ300782,SZ000338,SZ002463,SH601328,SH601818,SH600900,SH688223,SZ002384,SH601916,SZ000333,SH600026,SZ300408,SH601658,SH601169,SZ000001,SH600875,SH600036,SH688506,SH600016,SZ000617,SH601166,SZ300759,SZ002460,SH601816,SH600346,SZ002600,SZ000977,SZ002466,SH600426,SH601838,SH601298,SZ002938,SH601872,SZ300442,SH601698,SH600584,SH688256,SZ000792,SZ002459,SZ002142,SH601009,SH688008,SZ000786,SH601398,SH600015,SH600000,SH600482,SZ300433,SH601012,SH601939,SH600188,SZ000938,SZ002648,SH601229,SH601988,SZ300476,SZ002074,SH688472,SZ002601,SZ000999,SZ300502,SH688047,SH600989,SZ301269,SZ300251,SZ002475,SH600104,SZ002049,SZ300418,SH600377,SZ002714,SH603893,SH600018,SH600845,SZ002493,0.0210419949144125,0.023944378,0.3,0.0204419949144125,1.0096880044209342,0.9973415,1.0096880044209342,0.0
7,2026-06-12,SZ300782,SZ300394,SZ000725,SZ300347,SH600426,SZ300433,SH600346,SZ002938,SH600584,SH600900,SH688506,SH601916,SH601818,SZ300502,SZ300442,SH600919,SZ002466,SZ300418,SH601658,SZ300408,SH600016,SH688223,SZ000999,SZ300803,SZ000001,SZ000333,SZ000876,SH601985,SH600845,SH601838,SH601939,SH601169,SH600036,SH600015,SZ002463,SZ000938,SH601872,SZ000792,SH601328,SH603799,SH688041,SZ301269,SH601298,SH601668,SZ002459,SH600026,SZ000975,SH600018,SH601816,SZ000338,SH600674,SH601012,SH688187,SZ000977,SH601229,SH600600,SH601166,SH600547,SH688472,SH601688,SH601825,SH600887,SH688047,SH601988,SZ000651,SH603392,SH601009,SH688008,SH601607,SH688396,SZ002601,SH600989,SH600039,SH600999,SH601225,SZ002709,SZ300498,SZ002142,SZ000617,SZ002352,-0.004841177258640528,-0.0015291572,0.3625,-0.005566177258640528,1.0040679020124044,0.9958164,1.0096880044209342,-0.005566177258640425
8,2026-06-15,SZ300782,SZ300347,SH601916,SH600989,SH601818,SH600900,SH600018,SH601985,SH600188,SH600016,SH600919,SH601169,SH603993,SH605117,SH600015,SH601668,SH603260,SH688472,SZ300803,SH601012,SH601838,SH601939,SH688223,SH600036,SH601688,SH601877,SZ000001,SH603392,SH600887,SZ000977,SH601988,SH601658,SZ300015,SH600346,SZ002459,SZ000630,SH601607,SH688047,SH600426,SH601328,SZ300498,SZ300442,SZ000999,SH600999,SH601186,SZ300122,SH601398,SH600372,SH601766,SH600438,SH600030,SZ000333,SZ000301,SH600674,SH601825,SH600845,SH601066,SZ002709,SH601166,SH601298,SH601229,SZ002142,SZ000776,SH688169,SH603195,SH600519,SH601009,SZ000975,SH600233,SH600905,SH600196,SH601211,SH600926,SZ000617,SH601898,SZ000661,SH601816,SZ300394,SH600377,SH603893,-0.0038950382731854916,0.009655595,0.3375,-0.004570038273185492,0.9994792732713307,1.0054317,1.0096880044209342,-0.010110777888718534
9,2026-06-16,SH600026,SZ300347,SH600188,SH600989,SH601916,SH601985,SH601012,SZ002459,SZ300498,SH600547,SH601818,SH603260,SH600900,SZ000617,SH600845,SH600426,SH688047,SH688169,SZ000661,SH600372,SH600036,SZ300122,SH601169,SZ000876,SH600066,SZ000975,SZ000999,SH600016,SH601766,SH601838,SH601877,SZ300015,SH603392,SZ002714,SZ002938,SZ002709,SH601229,SZ000001,SH601668,SH600015,SH688223,SH601186,SH600919,SZ300251,SH600018,SZ300759,SZ300413,SH600489,SZ000338,SH601328,SH601166,SZ300418,SH600674,SH600111,SZ000786,SH601377,SZ002001,SH601939,SH688472,SZ002304,SH600999,SZ300896,SZ300502,SZ000538,SZ300803,SH600233,SH601607,SZ300782,SH688009,SH600085,SZ300832,SH601360,SH600346,SH601018,SH601688,SZ000776,SH600196,SH600438,SH600875,SH603288,-0.01410030759871006,0.002070427,0.3,-0.01470030759871006,0.9847866205157069,1.0075133,1.0096880044209342,-0.024662453942402258
10,2026-06-17,SH600026,SZ300347,SH600188,SH600426,SH688223,SH601012,SH688472,SH601916,SZ000975,SH600547,SZ300782,SH600845,SZ300442,SH603392,SZ000617,SH688169,SZ300251,SZ301269,SZ002459,SH601985,SH601117,SH600989,SH688009,SZ000661,SH601818,SZ000100,SH601169,SH601877,SH600900,SH601360,SH600016,SZ300274,SH601668,SZ300015,SZ000876,SZ002714,SH600489,SH600018,SZ300014,SH600919,SH600570,SH601229,SH600438,SH600036,SZ300498,SH601766,SZ300413,SH600219,SH600015,SH601018,SZ000786,SH600372,SZ300418,SH603799,SZ002074,SH600233,SZ300122,SZ300502,SZ000002,SZ300759,SH600039,SH688047,SH600406,SH601377,SZ000807,SZ000938,SH600377,SH601127,SH600893,SZ300866,SZ000625,SZ300896,SH688506,SH601328,SH600104,SH601607,SZ002304,SZ000333,SH600276,SZ000001,0.018511606380343437,0.023890972,0.325,0.017861606380343436,1.002376491499987,1.0315838,1.0096880044209342,-0.007241358606751339
11,2026-06-18,SZ300418,SH600188,SH688223,SH601012,SZ300782,SZ300347,SZ300251,SH688472,SZ000975,SH600893,SH600426,SZ002459,SH600547,SH688256,SH600989,SH600438,SZ300274,SH600346,SZ000617,SH603392,SH600845,SH688009,SH600570,SH601985,SH601916,SH600233,SZ300015,SH600875,SZ300122,SZ000002,SZ300413,SZ000876,SH601127,SZ002074,SZ300498,SH601818,SZ000807,SH601877,SH600919,SH600026,SH600372,SH600039,SZ000661,SH601066,SH601688,SH601939,SH600048,SZ002920,SH688169,SZ002236,SH600016,SH601668,SH601618,SH600406,SZ002600,SH601607,SH601600,SH605117,SH600018,SH600905,SH601018,SH601211,SH601186,SH600900,SH688036,SZ002027,SH601800,SZ001965,SZ002714,SZ000625,SH601059,SH600066,SZ300759,SH601100,SH600036,SH600104,SH601390,SZ000538,SH601766,SH600028,-0.01941029354929924,-0.027723253,0.425,-0.02026029354929924,0.9820680495352807,1.0029849,1.0096880044209342,-0.02735494010498204
12,2026-06-22,SZ300033,SZ300347,SH600426,SH600346,SZ300803,SH600026,SZ300059,SZ300418,SZ002625,SH600030,SZ300782,SZ300014,SH688472,SH601066,SH600893,SZ002601,SH600188,SH600989,SZ000617,SH601916,SZ000807,SH688223,SZ000786,SH600547,SZ000876,SZ002001,SH601238,SH600919,SH601985,SZ301269,SZ300408,SZ000002,SH601058,SZ002648,SZ000792,SZ002920,SH601668,SH601607,SH600018,SH601100,SZ300124,SH601127,SH601377,SZ000975,SH601995,SH601689,SH600039,SH601336,SH601939,SH688009,SH601818,SH600016,SZ000776,SH601688,SH600845,SH600015,SZ001979,SH600875,SH603260,SH600900,SH603392,SZ000063,SH601838,SH600036,SH600233,SZ002459,SZ300759,SH601012,SH605499,SH600515,SH601398,SZ300251,SZ300498,SH601872,SZ300122,SH601169,SZ002938,SZ000596,SH601018,SZ002142,-0.007849352434277534,0.0048035383,0.3625,-0.008574352434277534,0.9736474519641217,1.0078027,1.0096880044209342,-0.035694741641980866
13,2026-06-23,SZ000975,SZ002938,SH600426,SH600188,SH600547,SH688223,SZ300408,SH601600,SZ000876,SH600845,SZ002625,SH603392,SZ300413,SH688506,SZ000661,SH600030,SH688169,SH603260,SZ000630,SH600183,SH688472,SZ002459,SZ002463,SH601916,SH600989,SH600489,SZ001979,SH601127,SZ002920,SH688009,SZ300502,SH600066,SZ000792,SZ002714,SH601012,SZ300782,SZ000625,SH600875,SH601229,SZ300033,SH601688,SH600048,SH600900,SZ000776,SZ300896,SH600104,SH601818,SH600015,SH601186,SZ000002,SH601985,SZ000786,SZ301269,SZ000895,SH601877,SH600018,SH600515,SZ001391,SH601668,SH600919,SH600039,SH601939,SZ000768,SZ000807,SH601607,SH601211,SH601006,SH600016,SH601169,SH600438,SH601238,SZ300418,SH600893,SH601377,SH600415,SH601988,SH601398,SH601390,SH688126,SH600233,0.0023014829494059086,0.015593648,0.275,0.0017514829494059084,0.9753527788749693,1.0235181,1.0096880044209342,-0.03400577742394443
14,2026-06-24,SH688223,SZ300408,SH600845,SZ000975,SH600547,SH688472,SH600188,SZ000786,SH600183,SZ000630,SH603260,SZ002415,SZ002625,SH600438,SH603259,SZ000876,SH601600,SH601916,SH600875,SZ300759,SZ002938,SH601877,SH600741,SH601607,SZ300251,SH600233,SZ002920,SH600426,SH600803,SH600489,SH601898,SH600919,SH601360,SZ000776,SH600588,SH600989,SH600066,SH601939,SH601012,SH600893,SH600372,SZ002074,SZ300413,SZ002714,SZ000661,SH601186,SH601238,SZ301269,SZ300124,SH600030,SH601985,SZ000792,SZ002459,SH688009,SH600219,SH688126,SZ003816,SZ000895,SZ000338,SH600515,SZ001979,SH600026,SZ002142,SH601398,SZ300418,SH600018,SZ300502,SH601127,SH603392,SH600039,SH601988,SH601377,SZ002422,SH601211,SZ000617,SH601857,SH600415,SH601328,SH600015,SZ300122,-0.02572666108608246,-0.030254364,0.3625,-0.02645166108608246,0.9495530777287999,0.9925522,1.0096880044209342,-0.059557929210639904
15,2026-06-25,SZ002920,SZ000975,SH600188,SZ300408,SH601898,SH600547,SH601600,SH600989,SZ300782,SH600845,SH601901,SH688223,SH600233,SZ000876,SZ001979,SZ000807,SZ000630,SH603392,SH603260,SH688472,SZ300033,SZ300803,SH600809,SZ002625,SH600011,SH688009,SH600875,SH601916,SH601238,SZ000338,SH600489,SZ002938,SH688506,SH600803,SH601607,SH603019,SH600066,SH600426,SZ300059,SZ000786,SZ002415,SH600588,SH600219,SZ000661,SH601360,SH605499,SH600030,SH600741,SZ002714,SZ001391,SZ000596,SZ300498,SZ002074,SH601377,SH601100,SH601336,SH600919,SH601939,SH601985,SH601995,SH600029,SH600938,SZ000625,SH600415,SZ300347,SH601878,SH601211,SH601398,SH600438,SH600018,SH601808,SZ300251,SZ000002,SZ002600,SH600893,SH600660,SZ000768,SZ002648,SZ002001,SZ003816,0.01083940640091896,0.012057781,0.45,0.00993940640091896,0.95899107166759,1.0045202,1.0096880044209342,-0.05021049327254251
16,2026-06-26,SZ000975,SH600183,SZ300782,SH688223,SH600875,SZ300408,SZ000807,SZ002384,SZ002625,SZ000630,SH603260,SH603019,SZ000338,SH600482,SZ300661,SZ300759,SZ300418,SH600845,SH600489,SZ300308,SH601698,SH600938,SZ301236,SH688472,SH601898,SH601995,SH600362,SH600188,SZ002028,SH601600,SH601872,SH600893,SZ002049,SH601211,SZ002920,SZ300442,SZ000776,SH600989,SH600919,SH600547,SZ002916,SZ000661,SZ002600,SZ000876,SH600426,SH600026,SH600233,SH601398,SH600438,SZ002142,SZ000617,SH600066,SH601658,SH601939,SH601138,SH601985,SH600219,SH600372,SZ000333,SH603392,SZ002074,SH600887,SH601377,SZ000651,SH600030,SZ002463,SZ002459,SZ000938,SZ002601,SH603296,SZ300476,SZ300251,SH603986,SH601077,SH601689,SZ300628,SH688009,SH600803,SZ002001,SZ301269,0.010787912644445896,0.010657787,0.425,0.009937912644445896,0.968521441164626,1.0152261,1.0096880044209342,-0.04077156812407374
17,2026-06-30,SH601872,SH600026,SH601898,SZ000975,SH601689,SZ000338,SH600183,SZ002625,SZ300433,SZ000807,SH600188,SH601600,SH600989,SH600803,SZ300782,SH600489,SH600845,SH600938,SZ001979,SH600219,SH600426,SZ000876,SH600482,SZ000786,SH603260,SH600066,SH600875,SH603392,SZ300442,SH600547,SZ300408,SZ000983,SZ002384,SH600048,SH601985,SZ001391,SH688223,SZ300413,SH688169,SH600104,SH603019,SH601225,SH600930,SZ000617,SH601238,SH688472,SH601939,SZ000977,SZ002415,SH601127,SH605499,SH601857,SH601808,SZ002920,SH601658,SH600346,SZ300661,SH601088,SZ002074,SZ000425,SZ002463,SH600900,SZ300418,SZ002028,SZ300979,SH600009,SH600588,SH603296,SZ000895,SZ002938,SH601018,SH600893,SH601360,SZ000301,SZ000630,SH600019,SH601229,SH600438,SH600519,SZ003816,-0.009605558589100838,-0.029578567,0.45,-0.010505558589100837,0.9583465824196706,0.9851972,1.0096880044209342,-0.05084879861547763
